time,thought_data,action_data,boredom,interest,confusion,concentration
0.0,But I need to estimate the workload. How long will it take me?,,0.0236968994140625,0.09283447265625,0.01346588134765625,0.309814453125
5.366666666666666,"Well, it says it will take three years.",,0.191162109375,0.022430419921875,0.072509765625,0.1976318359375
32.95,Another thing. I know that the hormones are very important in this in this thing. Do I need to take any supplements?,,0.01351165771484375,0.0693359375,0.0276031494140625,0.060791015625
46.43333333333333,Yeah. Different thing. I need to figure that.,,0.053955078125,0.06103515625,0.07977294921875,0.05364990234375
68.56666666666666,"Well, obviously protein. Okay. Creatine. Omega three. I guess you can drink it even without training.",,0.182373046875,0.04486083984375,0.0213470458984375,0.0487060546875
75.65,Multivitamin. Vitamin d.,,0.0184326171875,0.346923828125,0.0248870849609375,0.395751953125
91.31666666666666,"Zinc, magnesium, caffeine, Oh, it says caffeine won't be I guess caffeine would be harmful.",,0.081298828125,0.05670166015625,0.06561279296875,0.05242919921875
95.13333333333334,Let's clarify that.,,0.1756591796875,0.163818359375,0.0226898193359375,0.29345703125
133.55,"Okay. Well, obviously, it will increase my performance. Okay. Mobilize the fat.",,0.06854248046875,0.0599365234375,0.03765869140625,0.060943603515625
150.05,"I see. Well, it will impact my recovery, but that's not what I want to know.",,0.041656494140625,0.041595458984375,0.058990478515625,0.064208984375
165.43333333333334,Okay. Let's summarize it.,,0.09918212890625,0.1632080078125,0.023834228515625,0.214111328125
176.06666666666666,"Well, generally in general, it is not harmful. Okay.",,0.035369873046875,0.020172119140625,0.032257080078125,0.060516357421875
187.21666666666667,What do I need to else know?,,0.119384765625,0.046783447265625,0.10784912109375,0.050018310546875
199.0,What would be approximate cost of all supplements in gym?,,0.054168701171875,0.47802734375,0.003997802734375,0.338623046875
208.13333333333333,Let's see in London.,,0.0968017578125,0.141357421875,0.0191497802734375,0.08135986328125
258.55,I believe it's,,0.0257415771484375,0.2205810546875,0.01352691650390625,0.037689208984375
274.31666666666666,mostly depends on the the class of the gym.,,0.09881591796875,0.0270233154296875,0.135498046875,0.0848388671875
293.51666666666665,"If it is a mid range budget or the premium one. I guess that's the most expensive part. But in general, I it says that it will be around thirty five, sixty pounds per month.",,0.0114593505859375,0.149658203125,0.05511474609375,0.25537109375
297.6333333333333,If I will keep it in the mid range.,,0.09246826171875,0.19970703125,0.01222991943359375,0.311767578125
301.1333333333333,"Well, that's affordable.",,0.10064697265625,0.06561279296875,0.0006890296936035156,0.06439208984375
321.4,"And, definitely, I need some clues. What are the most what are most popular sport clothes brand?",,0.1246337890625,0.05712890625,0.039581298828125,0.2802734375
341.3666666666667,Let's figure that out.,,0.10052490234375,0.01409912109375,0.2469482421875,0.030792236328125
353.68333333333334,"Nike added us under armor, etcetera, etcetera. Oh, Lululemon.",,0.1259765625,0.091796875,0.022308349609375,0.069580078125
360.45,I've seen so much advertising of it.,,0.010162353515625,0.1654052734375,0.045135498046875,0.0672607421875
364.8,"Well, I think I will try it.",,0.1077880859375,0.009796142578125,0.038726806640625,0.03265380859375
367.3666666666667,Gymshark.,,0.1009521484375,0.07464599609375,0.06793212890625,0.053802490234375
372.4166666666667,"Well, those two",,0.0609130859375,0.19091796875,0.1082763671875,0.10296630859375
381.6333333333333,"Well, I want to be to look like a gym geek.",,0.1522216796875,0.25927734375,0.02691650390625,0.13330078125
391.56666666666666,"So I guess I will buy the Lululemon and Gymshark. Well, it was very useful.",,0.042510986328125,0.1011962890625,0.0093536376953125,0.06573486328125
393.3666666666667,Thank you.,,0.048126220703125,0.045166015625,0.0013685226440429688,0.00650787353515625
